policyid,age,values
0,10,81.37291811
0,10,25.70097086
0,10,4.942646012
1,11,43.02085256
1,11,81.69058902
1,11,51.19523649
2,12,55.65990905
2,12,15.15315474
2,12,38.74578007
3,13,12.61038468
3,13,22.41509375
3,13,18.3557207
4,14,38.08150137
4,14,48.17113476
4,14,18.46272527
5,15,44.64225129
5,15,25.39108197
5,15,20.41087394
6,16,15.77818657
6,16,19.35148454
6,16,20.18999062
7,17,27.7954065
7,17,25.26859964
7,17,20.17745901
8,18,15.19688745
8,18,26.20653683
8,18,19.19096588
9,19,35.48116051
9,19,28.09425191
9,19,30.30592185